Year,Number,CareerRaces,Name,Sex,Sire,Dam,Wins,Races,WinPercent,1st,2nd,3rd,WinDist,Top3
2016,1,195,Flyin Bloodymary [US/US 2014],f,Rico's Vintage,Keeperraeepisode,42,85,0.49,42,13,12,302,67
2016,2,172,Fly Danny Green [US/US 2013],m,BD's Grayson,Flying Claret,41,82,0.50,41,17,2,483,60
2016,3,112,Seldom Told * [US/CN 2013],m,Trent Lee,Need a Date,35,47,0.74,35,4,1,523,40
2016,4,230,Keeperdreamliner [US/US 2012],f,Pat C Clement,KB's Jumbo Jet,35,80,0.43,35,16,14,503,65
2016,5,122,Oshkosh Kid [US/US 2013],m,Kiowa Mon Manny,Oshkosh Vani,34,57,0.59,34,11,6,603,51
2016,6,127,Craigie Renegade [US/US 2014],m,KC and All,Toni Works,34,57,0.59,34,8,5,294,47
2016,7,75,Oya Stan The Man [US/US 2014],m,Defrim Bale *,O Ya Norma,34,63,0.53,34,10,5,588,49
2016,8,244,Real Good Feelin [US/US 2013],f,TMC's Remedy,Need a Date,34,72,0.47,34,7,6,503,47
2016,9,87,Charlie Bale [US/US 2013],m,Lonesome Cry,Manyara Bale *,33,64,0.51,33,16,5,503,54
2016,10,119,KB's Dagwood [US/US 2014],m,Kiowa Mon Manny,Iruska Kittle,31,66,0.46,31,7,9,503,47
2016,11,165,Taye Diggs [US/US 2014],m,Flying Penske,SJ's Wild Flower,31,81,0.38,31,13,7,603,51
2016,12,132,KC's Todd [US/US 2014],m,Djays Octane,Kane's Izzy,30,85,0.35,30,10,9,503,49
2016,13,135,Fraulein Morgan [US/US 2013],f,Kiowa Mon Manny,Fraulein Kaci,29,57,0.50,29,9,7,603,45
2016,14,166,Lego Andrew [US/US 2013],m,Kinloch Brae *,Danicas Go Daddy,29,66,0.43,29,12,5,503,46
2016,15,190,Del Sol Stewart [US/US 2014],m,Starz Jenko,Bella Languish,29,92,0.31,29,16,10,499,55
2016,16,114,Superior Tyson [US/US 2013],m,Dragon Fire,Superior Date,28,54,0.51,28,12,3,498,43
2016,17,138,WW's Durangogold [US/US 2013],m,Gable Oscar,WW Sally Angie,28,60,0.46,28,12,7,503,47
